technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar
Zn-Br-Flow-bicharger,,,,,,2.1198,,,,,,,,,,,,,,,,,0.07,,,,0.8307,,,,,,,,,,,,,,,81553.4846,10.0,,,,,,,,,,,,,,,,
Zn-Br-Flow-store,,,,,,0.2576,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,412306.5947,10.0,,,,,,,,,,,,,,,,
Zn-Br-Nonflow-bicharger,,,,,,2.4395,,,,,,,,,,,,,,,,,0.07,,,,0.8888,,,,,,,,,,,,,,,129023.0526,15.0,,,,,,,,,,,,,,,,
Zn-Br-Nonflow-store,,,,,,0.2244,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,239220.5823,15.0,,,,,,,,,,,,,,,,
air separation unit,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.25,,,,,,,,820676.5784,30.0,,,,,,,,,,,,,,,,
allam,,,,,,0.0,,,2.0,,,,,,,,,,,,,,0.07,,,,0.6,,,,,,,,,,,,,,,1500000.0,30.0,,,,,,,,,,,,,,,,
ammonia carbon capture retrofit,,,,,,5.0,,,,,,,,,0.99,,,,,,,,0.07,,,,,,,,,,,0.1,,,,,,,,929753.03,20.0,,,,,,,,,,,,,,,,
battery inverter,,,,,,0.3375,,,,,,,,,,,,,,,,,0.07,,,,0.96,,,,,,,,,,,,,,,170144.0,10.0,,,,,,,,,,,,,,,,
battery storage,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,151002.80000000002,25.0,,,,,,,,,,,,,,,,
biochar pyrolysis,,,,,,3.4167,,,823.497,,,,,,,,,,,,,,0.07,,,,,0.404,,,0.4848,,,,,,,,,,,154405680.0,25.0,,,,,,,,,,,,,,,,0.0582
biodiesel crops,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,137.6508,,,,,,,20.0,,,,,,,,,,,,,,,,
bioethanol crops,,,,0.1289,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,82.4367,,,,,,,20.0,,,,,,,,,,,,,,,,
biogas,,,,,0.1447,7.7769,,,,,,,,0.9,,,,,,,,,0.07,,,,1.0,,,,,,,,,62.4351,,,,,,955186.5,20.0,,,,,,,,,,,,,,,,
biogas CC,,,,,0.1447,7.7769,,,,,,,,0.9,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,955186.5,20.0,,,,,,,,,,,,,,,,
biogas manure,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,19.8676,,,,,,,20.0,,,,,,,,,,,,,,,,
biogas plus hydrogen,,,,,,4.0,,,3.8282,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,803930.3999999999,25.0,,,,,,,,,,,,,,,,
biogas upgrading,,,,,,17.0397,,,3.6704,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,170206.8,20.0,,,,,,,,,,,,,,,,
biomass,,,,,,4.5269,,,,,,,,,,,,,,,,,0.07,,,,0.468,,,,,,,,,7.4076,,,,,,2337611.6,30.0,,,,,,,,,,,,,,,,
biomass CHP,,,,,,3.5822,,,2.222,,0.4564,1.0,,,,,,,,,,,0.07,,,,0.3003,,,,0.7083,,,,,,,,,,,3397186.2,25.0,,,,,,,,,,,,,,,,
biomass CHP capture,,,,,,3.0,,,,,,,,,0.9,,,,,,0.085,0.14,0.07,,,,,,,,,,,0.025,,,,,0.72,0.72,,2700000.0,25.0,,,,,,,,,,,,,,,,
biomass EOP,,,,,,3.5822,,,2.222,,0.4564,1.0,,,,,,,,,,,0.07,,,,0.3003,,,,0.7083,,,,,,,,,,,3397186.2,25.0,,,,,,,,,,,,,,,,
biomass HOP,,,,,,5.7529,,,2.9457,,,,,,,,,,,,,,0.07,,,,1.0323,,,,,,,,,,,,,,,881102.0,25.0,,,,,,,,,,,,,,,,
biomass boiler,,,,,,7.4851,,,,,,,,,,,,,,,,,0.07,,,,0.86,,,,,,,,,,,,,,,687101.5,20.0,,,,,,,,,,9.0,,,,,,
biomass-to-methanol,,0.4129,0.5871,,0.2153,1.3333,,,14.4653,,,,,0.9,,,,,,,,,0.07,,,,0.61,,,0.02,0.22,,,,,,,,,,,3106329.1,20.0,,,,,,,,,,,,,,,,
blast furnace-basic oxygen furnace,,,,,,14.18,,,,,,,,,,,,,5.34,,,,0.07,,,20.0,,,,,,,,,,,,,,,,7637406.0,40.0,,,,,,,,1.539,,,0.051,,,,,
cement capture,,,,,,3.0,,,,,,,,,0.9,,,,,,0.085,0.14,0.07,,,,,,,,,,,0.022,,,,,0.72,1.54,,2600000.0,25.0,,,,,,,,,,,,,,,,
cement carbon capture retrofit,,,,,,7.0,,,,,,,,,0.9,,,,,,,,0.07,,,,,,,,,,,0.16,,,0.76,,,,,2587727.173,20.0,,,,,,,,,,,,,,,,
cement dry clinker,,,,,,4.0,,,5.2911,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.0694,,,0.0002,,0.9444,,,1158752.6816,30.0,,,,,,,,,,,,,,,,
cement finishing,,,,,,30.0,,,3.1747,,,,,,,,,0.656,,,,,0.07,,,,,,,,,,,0.1736,,,,,,,,92700.2145,25.0,,,,,,,,,,,,0.194,,,,
central air-sourced heat pump,,,,,,0.2336,,,2.6561,,,,,,,,,,,,,,0.07,,,,3.2,,,,,,,,,,,,,,,906098.7999999999,25.0,,,,,,,,,,,,,,,,
central coal CHP,,,,,,1.6316,,,3.005,,1.01,0.15,,,,,,,,,,,0.07,,,,0.52,,,,,,,,,,,,,,,1968794.7999999998,25.0,,,,,,,,,,,,,,,,
central excess-heat-sourced heat pump,,,,,,0.3504,,,2.127,,,,,,,,,,,,,,0.07,,,,5.3,,,,,,,,,,,,,,,604065.9,25.0,,,,,,,,,,,,,,,,
central gas CHP,,,,,,3.3214,,,4.4445,,1.0,0.17,,,,,,,,,,,0.07,,,,0.41,,,,,,,,,,,,,,,592604.1,25.0,,,,,,,,,1.0,,,,,,,
central gas CHP CC,,,,,,3.3214,,,4.4445,,1.0,,,,,,,,,,,,0.07,,,,0.41,,,,,,,,,,,,,,,592604.1,25.0,,,,,,,,,,,,,,,,
central gas boiler,,,,,,3.8,,,1.0582,,,,,,,,,,,,,,0.07,,,,1.04,,,,,,,,,,,,,,,52911.1,25.0,,,,,,,,,,,,,,,,
central geothermal heat source,,,,,,0.8437,,,4.86,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,2822240.4,30.0,,,,,,,,,,,,,,,,
central ground-sourced heat pump,,,,,,0.394,,,1.3268,,,,,,,,,,,,,,0.07,,,,1.73,,,,,,,,,,,,,,,537153.2999999999,25.0,,,,,,,,,,,,,,,,
central hydrogen CHP,,,,,,5.0,,,,,1.25,,,,,,,,,,,,0.07,,,,0.5,,,,,,,,,,,,,,,1164043.7999999998,10.0,,,,,,,,,,,,,,,,
central resistive heater,,,,,,1.7,,,1.0582,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,,,,,,,63493.299999999996,20.0,,,,,,,,,,,,,,,,
central solar thermal,,,,,,1.4,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,148151.0278,20.0,,,,,,,,,,,,,,,,
central solid biomass CHP,,,,,,2.8661,,,4.8512,,0.3506,1.0,,,,,,,,,,,0.07,,,,0.2699,,,,0.8245,,,,,,,,,,,3544501.6999999997,25.0,,,,,,,,,1.0,,,,,,,
central solid biomass CHP CC,,,,,,2.8661,,,4.8512,,0.3506,1.0,,,,,,,,,,,0.07,,,,0.2699,,,,0.8245,,,,,,,,,,,5207528.2,25.0,,,,,,,,,,,,,,,,
central solid biomass CHP powerboost CC,,,,,,2.8661,,,4.8512,,0.3506,1.0,,,,,,,,,,,0.07,,,,0.2699,,,,0.8245,,,,,,,,,,,3544501.6999999997,25.0,,,,,,,,,,,,,,,,
central water pit charger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
central water pit discharger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
central water pit storage,35.0,,,,,0.2354,,90.0,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,30.0,,,,,,,1062.2,30.0,,,,,,,,,,,,,0.0078,,,
central water tank charger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
central water tank discharger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
central water tank storage,,,,,,1.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,60.3448,,,,,,,3036.1,40.0,,,,,,,,,,,,,0.0077,55.0,,
clean water tank storage,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,69.1286,30.0,,,,,,,,,,,,,,,,
coal,,,,0.3361,,1.31,,,3.2612,,,,,,,,,,,,,,0.07,,,,0.356,,,,,,,,,9.5542,,,,,,3827162.9,40.0,,,,,,,,,,,,,,,,
csp-tower,,,,,,1.1,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,108370.0,30.0,,,,,,,,,,,,,,,,
csp-tower TES,,,,,,1.1,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,14520.0,30.0,,,,,,,,,,,,,,,,
csp-tower power block,,,,,,1.1,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,759170.0,30.0,,,,,,,,,,,,,,,,
decentral CHP,,,,,,3.0,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,1481510.2999999998,25.0,,,,,,,,,,,,,,,,
decentral air-sourced heat pump,,,,,,3.0014,,,,,,,,,,,,,,,,,0.04,,,,3.6,,,,,,,,,,,,,,,899488.3999999999,18.0,,,,,,,,,,,,,,,,
decentral gas boiler,,,,,,6.6924,,,,,,,,,,,,,,,,,0.04,,,,0.98,,,,,,,,,,,,,,,314103.5,20.0,,,,,,,,,,,,,,,,
decentral gas boiler connection,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,196314.69999999998,50.0,,,,,,,,,,,,,,,,
decentral ground-sourced heat pump,,,,,,1.8223,,,,,,,,,,,,,,,,,0.04,,,,3.9,,,,,,,,,,,,,,,1481510.2999999998,20.0,,,,,,,,,,,,,,,,
decentral oil boiler,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,,,,,,,165097.5,20.0,,,,,,,,,,,,,,,,
decentral resistive heater,,,,,,2.0,,,,,,,,,,,,,,,,,0.04,,,,0.9,,,,,,,,,,,,,,,105822.2,20.0,,,,,,,,,,,,,,,,
decentral solar thermal,,,,,,1.3,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,285719.8393,20.0,,,,,,,,,,,,,,,,
decentral water tank charger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
decentral water tank discharger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
decentral water tank storage,,,,,,1.0,,,1.0241,,,,,,,,,,,,,,0.04,,,,,,,,,,,,0.15,,,,,,,419862.19999999995,30.0,,,,,,,,,,,,,2.1,30.0,,
digestible biomass,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,17.0611,,,,,,,20.0,,,,,,,,,,,,,,,,
digestible biomass to hydrogen,,,,,,4.25,,,,,,,,0.9,,,,,,,,,0.07,,,,0.39,,,,,,,,,,,,,,,3707479.5,20.0,,,,,,,,,,,,,,,,
direct air capture,,,,,,4.95,,,,,,,,,,,,,,,0.15,0.2,0.07,,,,,,,,,,,0.4,,,,,1.6,1.0,,6000000.0,20.0,,,,,,,,,,,,,,,,
direct firing gas,,,,,,1.1818,,,0.2794,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,15105.0,15.0,,,,,,,,,,,,,,,,
direct firing gas CC,,,,,,1.1818,,,0.2794,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,15105.0,15.0,,,,,,,,,,,,,,,,
direct firing solid fuels,,,,,,1.5,,,0.3326,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,221540.0,15.0,,,,,,,,,,,,,,,,
direct firing solid fuels CC,,,,,,1.5,,,0.3326,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,,,,,,,221540.0,15.0,,,,,,,,,,,,,,,,
dry bulk carrier Capesize,,,,,,4.0,,,,,,,180000.0,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,40000000.0,25.0,,,,,,,,,,,,,,,,
electric arc furnace,,,,,,30.0,,,,,,,,,,,,,,,,,0.07,,,20.0,,,,,,,,0.6395,,,,1.0,,,,1839600.0,40.0,,,,,,,,,,,,,,,,
electric arc furnace with hbi and scrap,,,,,,30.0,,,,,,,,,,,,,,,,,0.07,,,20.0,,,,,,,,0.6395,,,,0.37,,,,1839600.0,40.0,,,,,,,,,,,0.71,,,,,
electric boiler steam,,,,,,1.4571,,,0.8811,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,,,,,,,70490.0,25.0,,,,,,,,,,,,,,,,
electric steam cracker,,,,,,3.0,,,190.4799,,,,,,,,0.55,,,,,,0.07,,,,,,,,,,,2.7,,,,,,,,11124025.7434,30.0,,,,,14.8,,,,,,,,,,,
electricity distribution grid,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,529110.8,40.0,,,,,,,,,,,,,,,,
electricity grid connection,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,148151.0,40.0,,,,,,,,,,,,,,,,
electrobiofuels,,0.9269,,,,2.6667,,,4.2296,,,,,0.9,,,,,,,,,0.07,,,,,,1.3217,,,1.2142,0.6328,,,,,,,,,466206992.09999996,20.0,,,,,,,,,,,,,,,,
electrolysis,,,,,,4.0,,,,,,,,,,,,,,,,,0.07,,,,0.6217,,,,0.2228,,,,,,,,,,,1500000.0,25.0,,,,,,,,,,,,,,,,
electrolysis small,,,,,,4.0,,,,,,,,,,,,,,,,,0.07,,,,0.6217,,,,0.2228,,,,,,,,,,,875000.0,25.0,,,,,,,,,,,,,,,,
ethanol carbon capture retrofit,,,,,,7.0,,,,,,,,,0.94,,,,,,,,0.07,,,,,,,,,,,0.12,,,,,,,,928559.735,20.0,,,,,,,,,,,,,,,,
ethanol from starch crop,,,,,,16.4,,,26.3497,,,,,,,,,,,,,,0.07,,,,0.58,,,,,,,,,,,,,,,603376.8073,20.0,,,,,,,,,,,,,,,,
ethanol from sugar crops,,,,,,19.51,,,23.1751,,,,,,,,,,,,,,0.07,,,,0.45,,,,,,,,,,,,,,,446537.78,20.0,,,,,,,,,,,,,,,,
fuel cell,,,,,,5.0,,,,,1.25,,,,,,,,,,,,0.07,,,,0.5,,,,,,,,,,,,,,,1164043.7999999998,10.0,,,,,,,,,,,,,,,,
fuelwood,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,14.5224,,,,,,,20.0,,,,,,,,,,,,,,,,
gas,,,,0.198,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,24.568,,,,,,,20.0,,,,,,,,,,,,,,,,
gas boiler steam,,,,,,4.18,,,1.007,,,,,,,,,,,,,,0.07,,,,0.93,,,,,,,,,,,,,,,45772.7,25.0,,,,,,,,,,,,,,,,
gas storage,,,,,,0.5368,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,236.6,100.0,,,,,,,,,,,,,,,,
gas storage charger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,15247.9,20.0,,,,,,,,,,,,,,,,
gas storage discharger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,5082.6,20.0,,,,,,,,,,,,,,,,
geothermal,,,,0.12,,2.0,,,,,,,,,,,,,,,,,0.07,25.0,0.8,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,
grey methanol synthesis,,,,,,0.0,,,,,,,,,,,0.0568,,,,,,0.07,,,,0.569,,,,,,,,,,,,,,,1001188.0,20.0,,,,,,,,,,,,,,,,
helmeth,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,0.8,,,,,,,,,,,,,,,2116443.3,25.0,,,,,,,,,,,,,,,,
home battery inverter,,,,,,0.3375,,,,,,,,,,,,,,,,,0.07,,,,0.96,,,,,,,,,,,,,,,242518.69999999998,10.0,,,,,,,,,,,,,,,,
home battery storage,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,215766.6,25.0,,,,,,,,,,,,,,,,
hydro,,,,,,1.0,,,,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,,,,,,,2274817.7,80.0,,,,,,,,,,,,,,,,
hydrogen direct iron reduction furnace,,,,,,11.3,,,,,,,,,,,,,,,,,0.07,,,20.0,,,,,,,,1.03,,,,,,,2.1,4277858.0,40.0,,,,,,,,1.59,,,,,,,,
hydrogen storage compressor,,,,,,4.0,,,,,,,,,,,,,,,0.05,,0.07,,,,,,,,,,,,,,,,,,,87690.0,15.0,,,,,,,,,,,,,,,,
hydrogen storage tank type 1,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,13500.0,20.0,,,,6.0,,,,,,,,,,,,
hydrogen storage tank type 1 including compressor,,,,,,1.1133,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,47757.3,30.0,,,,,,,,,,,,,,,,
hydrogen storage underground,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,2126.7999999999997,100.0,,,,,,,,,,,,,,,,
industrial heat pump high temperature,,,,,,0.0931,,,3.2224,,,,,,,,,,,,,,0.07,,,,3.05,,,,,,,,,,,,,,,941101.9,20.0,,,,,,,,,,,,,,,,
industrial heat pump medium temperature,,,,,,0.1117,,,3.2224,,,,,,,,,,,,,,0.07,,,,2.7,,,,,,,,,,,,,,,784251.6000000001,20.0,,,,,,,,,,,,,,,,
iron ore DRI-ready,,,,,,0.0,,,,,,,,,,,,,,97.73,,,0.07,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
iron-air battery,,,,,,1.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,16728.2,17.5,,,,,,,,,,,,,,,,
iron-air battery charge,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.71,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
iron-air battery discharge,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.6,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
lignite,,,,0.4069,,1.31,,,3.2612,,,,,,,,,,,,,,0.07,,,,0.33,,,,,,,,,3.2985,,,,,,3827162.9,40.0,,,,,,,,,,,,,,,,
methanation,,,,,,3.0,,,,,,,,,,0.198,,,,,,,0.07,,,,0.8,,,,,,,,,,,,,,1.282,679818.5,20.0,,,,,,,,,,,,,,,,
methane storage tank incl. compressor,,,,,,1.9,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,8961.5075,30.0,,,,,,,,,,,,,,,,
methanol,,,,0.2482,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
methanol-to-kerosene,,,,,,4.5,,,1.35,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,0.0279,269000.0,30.0,,,1.0764,,,,,,,,,,,,,
methanol-to-olefins/aromatics,,,,,,3.0,,,31.7466,,,,,,,,0.6107,,,,,,0.07,,,,,,,,,,,1.3889,,,,,,,,2781006.4359,30.0,,,18.03,,,,,,,,,,,,,
methanolisation,,,,,,3.0,,,,,,,,0.9,,0.248,,,,,,,0.07,,,,,,,,,,,0.271,,,,,,0.1,1.138,703726.4462,20.0,,,,,,,,,,,,,,,,
micro CHP,,,,,,6.1111,,,,,,,,,,,,,,,,,0.07,,,,0.351,,,,0.609,,,,,,,,,,,7841712.7,20.0,,,,,,,,,,,,,,,,
natural gas direct iron reduction furnace,,,,,,11.3,,,,,,,,,,,,,,,,,0.07,,,20.0,,,,,,,,,,,2.78,,,,,4277858.0,40.0,,,,,,,,1.59,,,,,,,,
nuclear,,,,,,1.27,,,3.5464,,,,,,,,,,,,,,0.07,,,,0.326,,,,,,,,,3.4122,,,,,,8594135.399999999,40.0,,,,,,,,,,,,,,,,
offwind,,,,,,2.3185,,,0.0212,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1682122.5999999999,30.0,,,,,,,,,,,,,,,,
offwind-ac-connection-submarine,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,2841.3251,20.0,,,,,,,,,,,,,,,,
offwind-ac-connection-underground,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1420.1334,20.0,,,,,,,,,,,,,,,,
offwind-ac-station,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,264555.4,20.0,,,,,,,,,,,,,,,,
offwind-dc-connection-submarine,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,2116.4433,20.0,,,,,,,,,,,,,,,,
offwind-dc-connection-underground,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1058.2216,20.0,,,,,,,,,,,,,,,,
offwind-dc-station,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,423288.7,20.0,,,,,,,,,,,,,,,,
offwind-float,,,,,,1.15,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,2350000.0,20.0,,,,,,,,,,,,,,,,
offwind-float-connection-submarine,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,2118.5597,20.0,,,,,,,,,,,,,,,,
offwind-float-connection-underground,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1039.4778,20.0,,,,,,,,,,,,,,,,
offwind-float-station,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,415791.1,20.0,,,,,,,,,,,,,,,,
oil,,,,0.2571,,2.463,,,6.3493,,,,,,,,,,,,,,0.07,,,,0.35,,,,,,,,,52.9111,,,,,,362970.0,25.0,,,,,,,,,,,,,,,,
onwind,,,,,,1.2167,,,1.4286,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1095853.3,30.0,,,,,,,,,,,,,,,,
organic rankine cycle,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.12,,,,,,,,1376000.0,30.0,,,,,,,,,,,,,,,,
ror,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,,,,,,,3412226.6,80.0,,,,,,,,,,,,,,,,
seawater RO desalination,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.003,,,,,,,,,20.0,,,,,,,,,,,,,,,,
seawater desalination,,,,,,4.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,3.0348,,,,,,,,34796.4978,30.0,,,,,,,,,,,,,,,,
shipping fuel methanol,,,,0.2482,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,72.0,,,,,,,20.0,,,,,,,,,,,,,,,,
solar,,,,,,1.9495,,,0.0106,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,543328.9,40.0,,,,,,,,,,,,,,,,
solar-rooftop,,,,,,1.4234,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,702926.5,40.0,,,,,,,,,,,,,,,,
solar-rooftop commercial,,,,,,1.573,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,565806.9,40.0,,,,,,,,,,,,,,,,
solar-rooftop residential,,,,,,1.2737,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,840046.1,40.0,,,,,,,,,,,,,,,,
solar-utility,,,,,,2.4757,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,383731.2,40.0,,,,,,,,,,,,,,,,
solar-utility single-axis tracking,,,,,,2.2884,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,454470.3,40.0,,,,,,,,,,,,,,,,
solid biomass,,,,0.3667,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,13.6489,,,,,,,20.0,,,,,,,,,,,,,,,,
solid biomass boiler steam,,,,,,6.0754,,,2.8448,,,,,,,,,,,,,,0.07,,,,0.89,,,,,,,,,,,,,,,595045.5,25.0,,,,,,,,,,,,,,,,
solid biomass boiler steam CC,,,,,,6.0754,,,2.8448,,,,,,,,,,,,,,0.07,,,,0.89,,,,,,,,,,,,,,,595045.5,25.0,,,,,,,,,,,,,,,,
solid biomass to hydrogen,,,,,,4.25,,,,,,,,0.9,,,,,,,,,0.07,,,,0.56,,,,,,,,,,,,,,,3707479.5,20.0,,,,,,,,,,,,,,,,
steel carbon capture retrofit,,,,,,5.0,,,,,,,,,0.9,,,,,,,,0.07,,,,,,,,,,,0.16,,,0.76,,,,,3561435.753,20.0,,,,,,,,,,,,,,,,
uranium,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,3.4122,,,,,,,20.0,,,,,,,,,,,,,,,,
waste CHP,,,,,,2.355,,,28.064,,0.2918,1.0,,,,,,,,,,,0.07,,,,0.2081,,,,0.7619,,,,,,,,,,,8582594.4,25.0,,,,,,,,,,,,,,,,
waste CHP CC,,,,,,2.355,,,28.064,,0.2918,1.0,,,,,,,,,,,0.07,,,,0.2081,,,,0.7619,,,,,,,,,,,8582594.4,25.0,,,,,,,,,,,,,,,,
water tank charger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
water tank discharger,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
